Datetime,Water Level (m)
2023-05-24 18:00:00,0.8695265
2023-05-24 19:00:00,0.9387156
2023-05-24 20:00:00,0.95967036
2023-05-24 21:00:00,0.9369524
2023-05-24 22:00:00,0.9076266
2023-05-24 23:00:00,0.88558686
2023-05-25 00:00:00,0.87155694
2023-05-25 01:00:00,0.86027336
2023-05-25 02:00:00,0.8508628
2023-05-25 03:00:00,0.84846157
2023-05-25 04:00:00,0.86482304
2023-05-25 05:00:00,0.9161179
2023-05-25 06:00:00,0.99702173
2023-05-25 07:00:00,1.0600094
2023-05-25 08:00:00,1.0821613
2023-05-25 09:00:00,1.070251
2023-05-25 10:00:00,1.0491452
2023-05-25 11:00:00,1.0369041
2023-05-25 12:00:00,1.0244479
2023-05-25 13:00:00,1.0146525
2023-05-25 14:00:00,1.0219197
2023-05-25 15:00:00,0.98490167
2023-05-25 16:00:00,0.98908925
2023-05-25 17:00:00,1.0857967
2023-05-25 18:00:00,1.1862074
2023-05-25 19:00:00,1.2901243
2023-05-25 20:00:00,1.3294674
2023-05-25 21:00:00,1.3074113
2023-05-25 22:00:00,1.2767278
2023-05-25 23:00:00,1.2540315
2023-05-26 00:00:00,1.2369398
2023-05-26 01:00:00,1.2179843
2023-05-26 02:00:00,1.1983413
2023-05-26 03:00:00,1.1814338
2023-05-26 04:00:00,1.1657418
2023-05-26 05:00:00,1.1637945
2023-05-26 06:00:00,1.1905831
2023-05-26 07:00:00,1.2434427
2023-05-26 08:00:00,1.2850999
2023-05-26 09:00:00,1.3001087
2023-05-26 10:00:00,1.2942407
2023-05-26 11:00:00,1.2837828
2023-05-26 12:00:00,1.2720499
2023-05-26 13:00:00,1.2613906
2023-05-26 14:00:00,1.2491182
2023-05-26 15:00:00,1.2321092
2023-05-26 16:00:00,1.2265075
2023-05-26 17:00:00,1.2487867
2023-05-26 18:00:00,1.2991524
2023-05-26 19:00:00,1.3588402
2023-05-26 20:00:00,1.4136512
2023-05-26 21:00:00,1.435163
2023-05-26 22:00:00,1.426116
2023-05-26 23:00:00,1.4063044
2023-05-27 00:00:00,1.3855222
2023-05-27 01:00:00,1.3639238
2023-05-27 02:00:00,1.3423933
2023-05-27 03:00:00,1.3201598
2023-05-27 04:00:00,1.2987151
2023-05-27 05:00:00,1.2794467
2023-05-27 06:00:00,1.2706356
2023-05-27 07:00:00,1.2816844
2023-05-27 08:00:00,1.3125359
2023-05-27 09:00:00,1.3423083
2023-05-27 10:00:00,1.3508055
2023-05-27 11:00:00,1.3434411
2023-05-27 12:00:00,1.3362255
2023-05-27 13:00:00,1.3512504
2023-05-27 14:00:00,1.3347249
2023-05-27 15:00:00,1.294364
2023-05-27 16:00:00,1.2690938
2023-05-27 17:00:00,1.2630446
2023-05-27 18:00:00,1.2791442
2023-05-27 19:00:00,1.3225824
2023-05-27 20:00:00,1.3817344
2023-05-27 21:00:00,1.4293135
2023-05-27 22:00:00,1.4475505
2023-05-27 23:00:00,1.4398066
2023-05-28 00:00:00,1.4222435
2023-05-28 01:00:00,1.404213
2023-05-28 02:00:00,1.3851346
2023-05-28 03:00:00,1.3654522
2023-05-28 04:00:00,1.3456726
2023-05-28 05:00:00,1.3260761
2023-05-28 06:00:00,1.3096695
2023-05-28 07:00:00,1.3034987
2023-05-28 08:00:00,1.3184623
2023-05-28 09:00:00,1.3561474
2023-05-28 10:00:00,1.3923165
2023-05-28 11:00:00,1.4099654
2023-05-28 12:00:00,1.4076244
2023-05-28 13:00:00,1.3975104
2023-05-28 14:00:00,1.3887713
2023-05-28 15:00:00,1.3762172
2023-05-28 16:00:00,1.3615466
2023-05-28 17:00:00,1.3460398
2023-05-28 18:00:00,1.3326603
2023-05-28 19:00:00,1.3307412
2023-05-28 20:00:00,1.3532629
2023-05-28 21:00:00,1.4020739
2023-05-28 22:00:00,1.4508481
2023-05-28 23:00:00,1.4788773
2023-05-29 00:00:00,1.4784462
2023-05-29 01:00:00,1.4634132
2023-05-29 02:00:00,1.4472187
2023-05-29 03:00:00,1.4296008
2023-05-29 04:00:00,1.4115496
2023-05-29 05:00:00,1.3921353
2023-05-29 06:00:00,1.3726676
2023-05-29 07:00:00,1.3562117
2023-05-29 08:00:00,1.3491099
2023-05-29 09:00:00,1.361394
2023-05-29 10:00:00,1.4002112
2023-05-29 11:00:00,1.4436934
2023-05-29 12:00:00,1.4685553
2023-05-29 13:00:00,1.4689916
2023-05-29 14:00:00,1.4581726
2023-05-29 15:00:00,1.4484959
2023-05-29 16:00:00,1.4394435
2023-05-29 17:00:00,1.4220074
2023-05-29 18:00:00,1.4013776
2023-05-29 19:00:00,1.3843338
2023-05-29 20:00:00,1.3784288
2023-05-29 21:00:00,1.3936793
2023-05-29 22:00:00,1.4368378
2023-05-29 23:00:00,1.4862262
2023-05-30 00:00:00,1.5147923
2023-05-30 01:00:00,1.5166454
2023-05-30 02:00:00,1.5055026
2023-05-30 03:00:00,1.491071
2023-05-30 04:00:00,1.4746947
2023-05-30 05:00:00,1.457177
2023-05-30 06:00:00,1.4387157
2023-05-30 07:00:00,1.4203492
2023-05-30 08:00:00,1.4054205
2023-05-30 09:00:00,1.4027288
2023-05-30 10:00:00,1.4266665
2023-05-30 11:00:00,1.4795051
2023-05-30 12:00:00,1.5326146
2023-05-30 13:00:00,1.560353
2023-05-30 14:00:00,1.56761
2023-05-30 15:00:00,1.5577286
2023-05-30 16:00:00,1.5385646
2023-05-30 17:00:00,1.5175999
2023-05-30 18:00:00,1.5005229
